Date,cityAccidente,countryAccidente,Operator,cityOrigen,cityDestino,Type,Aboard,Fatalities,Ground,latAccidente,lonAccidente,latDestino,lonDestino,latOrigen,lonOrigen
2/22/1980, Agra, India,Military - Indian Air Force,Miami,Rurrenabaque,Fairchild C-119G,47,46,1,27.02317485,78.0925527,-14.4438045,-67.5310519,25.7742658,-80.1936589
11/15/1979, Chicago, Illinois,American Airlines,Istanbul,Montreal,Boeing B-727,78,0,0,41.8755546,-87.6244212,45.5115944,-73.6051013,41.0096334,28.9651646
5/27/1979, Dakar, Senegal,Military - Mauritanian Air Force,Hobart,Altamira,de Havilland Canada DHC-5D Buffalo,12,12,0,14.6930042,-17.447026,43.3768445,-4.1197476,-42.8825088,147.3281233
4/23/1979, Cuenca, Ecuador,SAETA,Quito,Malaga,Vickers Viscount 785D,57,57,0,40.0681156,-2.1348241,36.7210805,-4.421041,-0.2201687,-78.5120913
3/14/1979, Doha Airport, Qatar,Alia Royal Jordanian Airlines,Moscow,Jakarta,Boeing B-727-2D3,64,45,0,25.2607,51.5646,-6.1753167,106.8271436,55.7516335,37.6187042
10/22/1978, Bellona, Solomon Islands,Solomon Islands Airlines,Miami,El Estor,Britten Norman BN-2A Trislander,11,11,0,41.160016,14.232326,15.4718499,-89.51247771,25.7742658,-80.1936589
10/2/1978, Artigas, Uruguay,Military - Uruguayan Air Force,Saigon,Da 9999g,Douglas C-47A-DL,44,44,0,-30.6170756,-56.9373451,16.0679814,108.2119396,10.7758439,106.7017555
6/26/1978, Bergen, Norway,Helikopter Service,Guatemala City,Beirut,Sikorsky S-61N,18,18,0,60.3943457,5.3258853,33.8959203,35.47843,14.6417889,-90.5132239
5/11/1978, Alexandria, Egypt,Nile Delta Air Services,Shemya,Annobon Island,Douglas DC-3,18,18,0,31.1990035,29.8943785,-1.4349999,5.637166263,52.7227465,174.0995162
1/1/1978, Bandra, India,Air India,Newark,Naples,Boeing B-747-237B,213,213,0,19.0549792,72.8402203,40.8441164,14.2422998,40.735657,-74.1723667
11/21/1977, Bariloche, Argentina,Austral Lineas Aeras (Argentina),Bogota,Chennai,BAC One-Eleven 420EL,79,46,0,-41.1334672,-71.3099936,13.0796914,80.2829533,4.5980478,-74.0760867
9/14/1977, Albuquerque, New Mexico,Military - U.S. Air Force,Tasu,Altamira,Boeing - EC-135K,20,20,0,35.0841034,-106.6509851,43.3768445,-4.1197476,10.03333,36.5
7/14/1977, Cuangar, Angola,Military - Angolan Air Force,Palma de Mallorca,Khartoum,Antonov AN-26,30,30,0,-17.6097686,18.6223286,15.5933247,32.5356502,39.5695818,2.6500745
7/8/1977, El Bolson, Argentina,LADE,Anchorage,Jeddah,de Havilland Canada DHC-6 Twin Otter 200,6,6,0,-27.0082762,-66.7427714,21.5822247,39.1640396,61.218056,-149.9002806
4/9/1977, Cuenca, Ecuador,Servicios Aereos Nacionales Airways,Bardufoss,Baghdad,Vickers Viscount 764D,33,33,0,40.0681156,-2.1348241,33.3024248,44.3787992,69.0650033,18.5207537
3/3/1977, Cascina, Italy,Military - Italian Air Force,Kunming,Mactan Island,Lockheed C-130H,44,44,0,43.6766738,10.5492244,10.2929096,123.9769982,25.0515153,102.7017638
1/13/1977, Alma Ata,  Kazakastan,Aeroflot,Mactan,Argentia,Tupolev TU-104A,96,96,0,43.2362314,76.9457599,47.2902236,-53.9916823,10.2999079,124.0000354
1/3/1977, Aden, Yemen,Alyemda,Agadir,Ahmadabad,Douglas DC-3,21,20,0,12.8331607,44.9166065,23.0216238,72.5797068,30.4218772,-9.5850476
10/13/1976, Bombay, India,Indian Airlines,Lisbon,Chachapoyas,Sud-Aviation Caravelle VI-N,95,95,0,18.9523804,72.8327112,-6.3404357,-77.803158,38.7130574,-9.1380056
